1.01.00.00;Математика и механика
1.02.00.00;Компьютерные и информационные науки
1.03.00.00;Физика и астрономия
1.04.00.00;Химия
1.05.00.00;Науки о Земле
1.06.00.00;Биологические науки
2.07.00.00;Архитектура
2.08.00.00;Техника и технологии строительства
2.09.00.00;Информатика и вычислительная техника
2.10.00.00;Информационная безопасность
2.11.00.00;Электроника, радиотехника и системы связи
2.12.00.00;Фотоника, приборостроение, оптические и биотехнические системы и технологии
2.13.00.00;Электро- и теплоэнергетика
2.14.00.00;Ядерная энергетика и технологии
2.15.00.00;Машиностроение
2.16.00.00;Физико-технические науки и технологии
2.17.00.00;Оружие и системы вооружения
2.18.00.00;Химические технологии
2.19.00.00;Промышленная экология и биотехнологии
2.20.00.00;Техносферная безопасность и природообустройство
2.21.00.00;Прикладная геология, горное дело, нефтегазовое дело и геодезия
2.22.00.00;Технологии материалов
2.23.00.00;Техника и технологии наземного транспорта
2.24.00.00;Авиационная и ракетно-космическая техника
2.25.00.00;Аэронавигация и эксплуатация авиационной и ракетно-космической техники
2.26.00.00;Техника и технологии кораблестроения и водного транспорта
2.27.00.00;Управление в технических системах
2.28.00.00;Нанотехнологии и наноматериалы
2.29.00.00;Технологии легкой промышленности
3.30.00.00;Фундаментальная медицина
3.31.00.00;Клиническая медицина
3.32.00.00;Науки о здоровье и профилактическая медицина
3.33.00.00;Фармация
3.34.00.00;Сестринское дело
4.35.00.00;Сельское, лесное и рыбное хозяйство
4.36.00.00;Ветеринария и зоотехния
5.37.00.00;Психологические науки
5.38.00.00;Экономика и управление
5.39.00.00;Социология и социальная работа
5.40.00.00;Юриспруденция
5.41.00.00;Политические науки и регионоведение
5.42.00.00;Средства массовой информации и информационно-библиотечное дело
5.43.00.00;Сервис и туризм
6.44.00.00;Образование и педагогические науки
7.45.00.00;Языкознание и литературоведение
7.46.00.00;История и археология
7.47.00.00;Философия, этика и религиоведение
7.48.00.00;Теология
7.49.00.00;Физическая культура и спорт
8.50.00.00;Искусствознание
8.51.00.00;Культуроведение и социокультурные проекты
8.52.00.00;Сценические искусства и литературное творчество
8.53.00.00;Музыкальное искусство
8.54.00.00;Изобразительное и прикладные виды искусств
8.55.00.00;Экранные искусства
9.56.00.00;Военное управление
9.57.00.00;Обеспечение государственной безопасности